username,followers,following,uploads,average_engagement_rate,date,
"nike","99370722","54","759","0.31","2020-01-22+12:05:15",
"nike","98983158","54","759","0.30","2020-01-17+01:16:03",
"nike","98475342","54","758","0.31","2020-01-10+08:28:01",
"nike","98389050","54","756","0.31","2020-01-09+01:14:01",
"nike","98302759","54","755","0.31","2020-01-08+01:14:01",
"nike","98216468","54","754","0.31","2020-01-07+01:14:01",
"nike","98130177","54","752","0.30","2020-01-06+01:14:01",
"nike","98043886","54","751","0.30","2020-01-05+01:14:01",
"nike","97957595","54","750","0.30","2020-01-04+01:14:01",
"nike","97871304","54","749","0.30","2020-01-03+01:14:01",
"nike","97803667","54","749","0.30","2020-01-02+17:22:01",
"nike","97736030","54","749","0.30","2020-01-01+17:22:01",
"nike","97668393","54","749","0.30","2019-12-31+17:22:01",
"nike","97600756","54","749","0.30","2019-12-30+17:22:01",
"nike","97533119","54","749","0.30","2019-12-29+17:22:01",
"nike","97465482","54","749","0.30","2019-12-28+17:22:01",
"nike","97397845","54","749","0.30","2019-12-27+17:22:01",
"nike","97330209","54","749","0.30","2019-12-26+17:22:01",
"nike","97263639","54","748","0.29","2019-12-25+11:40:01",
"nike","97197070","54","748","0.29","2019-12-24+11:40:01",
"nike","97130501","54","748","0.28","2019-12-23+11:40:01",
"nike","97063932","54","747","0.28","2019-12-22+11:40:01",